 
Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend 
Err?=(none)/Reinst-required (Status,Err:
gnome-themes-extra-data 3.28-2
gnome-tweaks 42~beta-4
gnupg 2.2.40-1
gnupg-l10n 2.2.40-1
gnupg-utils 2.2.40-1
gnuradio 3.10.3.0-2+b1
gnutls-bin 3.7.8-4
gobject-introspection 1.74.0-3
gobuster 3.4.0-0kali1
godoh 1.6+git20200517-0kali1
golang-any:amd64 2:1.19~1
golang-github-aws-aws-sdk-go-dev 1.44.133-1
golang-github-binject-go-donut 0.0~git20201215.d947cf4-0kali1
golang-github-davecgh-go-spew-dev 1.1.1-3
golang-github-deckarep-golang-set-dev 1.5-2
golang-github-jmespath-go-jmespath-dev 0.4.0-2
golang-github-klauspost-cpuid-dev 2.2.3-1
golang-github-pkg-errors-dev 0.9.1-2
golang-github-pmezard-go-difflib-dev 1.0.0-3
golang-github-stretchr-objx-dev 0.4.0-1
golang-golang-x-net-dev 1:0.4.0+dfsg-1
golang-golang-x-sys-dev 0.3.0-1
golang-golang-x-text-dev 0.5.0-1
golang-gopkg-yaml.v2-dev 2.4.0-4
golang-lukechampine-blake3-dev 1.1.6-1
goldeneye 1.2.0+git20191230-2
goofile 1.6+git20190819-0kali2
google-chrome-stable 113.0.5672.126-1
gospider 1.1.0-0kali1
gpart 1:0.3-10
gparted 1.3.1-1
gparted-common 1.3.1-1
gpg 2.2.40-1
gpg-agent 2.2.40-1
gpg-wks-client 2.2.40-1
gpg-wks-server 2.2.40-1
gpgconf 2.2.40-1
gpgsm 2.2.40-1
gpgv 2.2.40-1
gpp-decrypt 0.1-1kali2
gpsd 3.22-4.1+b1
gpsd-clients 3.22-4.1+b1
gpsd-tools 3.22-4.1+b1
gqrx-sdr 2.15.8-1+b3
graphviz 2.42.2-7+b2
greenbone-security-assistant 22.4.0-0kali1
grep 3.8-3
groff 1.22.4-9
groff-base 1.22.4-9
grokevt 0.5.0-5
groovy 2.4.21-7
grub-common 2.06-7+kali1
grub-efi-amd64 2.06-7+kali1
grub-efi-amd64-bin 2.06-7+kali1
grub2-common 2.06-7+kali1
gsad 21.4.4-0kali4
gsettings-desktop-schemas 43.0-1
gsfonts 2:20200910-6
gss-ntlmssp 1.0.0-1+b1
gstreamer1.0-gl:amd64 1.22.0-3
gstreamer1.0-libav:amd64 1.20.5-1
gstreamer1.0-plugins-bad:amd64 1.20.3-1+b2
gstreamer1.0-plugins-base:amd64 1.22.0-3
gstreamer1.0-plugins-good:amd64 1.20.3-1
gstreamer1.0-plugins-ugly:amd64 1.22.0-2
gstreamer1.0-x:amd64 1.22.0-3
gtk-update-icon-cache 3.24.36-1
gtk2-engines-pixbuf:amd64 2.24.33-2
gtkhash 1.4+git20220617-3
guymager 0.8.13-2
gvfs:amd64 1.50.3-1
gvfs-backends 1.50.3-1
gvfs-common 1.50.3-1
gvfs-daemons 1.50.3-1
gvfs-fuse 1.50.3-1
gvfs-libs:amd64 1.50.3-1
gvm 21.4.4~kali1
gvm-tools 22.9.0-0kali1
gvmd 21.4.5-1
gvmd-common 21.4.5-1
gyp 0.1+20220404git9ecf45e-2
gzip 1.12-1
hackrf 2022.09.1-3
hakrawler 2.0-kali1
